objektidentitet,lannamn,kommunnamn,sockenstadnamn,
0DFDE15A-F6D3-4F31-A718-411A8E3F4DC9,Gotland,Gotland,Barlingbo,
0E2724D9-3668-4E6B-A7F8-E0780C5BEA22,"Värmland, Västra Götaland","Hammarö, Karlstad, Mariestad, Säffle",Hammarö,
0E76FC53-70C6-4BBC-88FE-176F94428944,Västra Götaland,Falköping,Gökhem,
0E79E948-22B7-4D67-AE74-438C24881FA7,Södermanland,"Katrineholm, Eskilstuna, Eskilstuna",Näshulta,
0E7D99EA-4AF5-468D-B626-7F0546F1F574,"Örebro, Värmland","Degerfors, Lekeberg, Karlskoga, Kristinehamn, Storfors",Degerfors,
0E90891C-1677-4318-AAF6-7B02C31E3693,Skåne,Tomelilla,Kverrestad,
0ED47989-7BB7-42AA-9BF9-F4619FF07013,"Uppsala, Stockholm, Uppsala","Östhammar, Norrtälje, Östhammar",Gräsö,
0ED99A44-9834-4A53-A8FF-416601D01878,Skåne,"Svalöv, Klippan, Svalöv",Konga,2022-07-24
0EE50E97-BCFC-4ECE-8CBA-9BC9ECF0148F,Skåne,"Sjöbo, Lund, Eslöv",Vomb,
0EE96F41-3F13-4F64-BBDA-7AE72121FCE7,Södermanland,"Nyköping, Nyköping, Oxelösund",Nikolai,
0EF8851B-C1B1-4E77-A387-B66EF0312CE1,"Södermanland, Östergötland, Södermanland","Katrineholm, Finspång, Katrineholm, Vingåker",Östra Vingåker,
0F0F994D-193E-4E16-B295-36E852314475,Västra Götaland,"Alingsås, Essunga, Vara, Essunga",Essunga,
0F3A6072-71B4-4373-A134-4901783C70DB,Skåne,"Trelleborg, Vellinge, Trelleborg, Trelleborg, Vellinge, Svedala",Lilla Slågarp,
0F600384-51D4-4325-964B-25A580349041,"Västmanland, Örebro","Arboga, Lindesberg, Köping",Medåker,
0F6974E0-C249-48FC-99A6-D06AAA4BBBF0,Kronoberg,"Tingsryd, Växjö",Jät,
0F7B0911-2B71-45FB-98F6-DD7C7B771FC7,Västra Götaland,"Bollebygd, Borås, Alingsås, Vårgårda",Töllsjö,
0F82CC10-3003-4F35-8F99-85E2F6CA96A5,Värmland,Hagfors,Hagfors,
0F9DF83D-2D65-4EAF-B9BA-0CD30A9DF5B8,Västra Götaland,"Mölndal, Göteborg, Härryda",Kållered,
0FA2CECD-CD13-46F2-AE82-403503D835AE,Gotland,Gotland,Akebäck,
0FC209CC-C63A-45B6-AB97-6CBB1C17E207,"Jönköping, Östergötland, Östergötland","Tranås, Ödeshög, Ödeshög",Stora Åby,
0FD3CA39-FB18-4596-80FD-5F72B0067664,"Dalarna, Gävleborg, Jämtland","Mora, Orsa, Rättvik, Ljusdal, Härjedalen",Orsa,
0FD905E1-A49C-4ABE-B976-810103ED112B,Västra Götaland,"Vårgårda, Herrljunga, Herrljunga, Vårgårda, Vara, Essunga",Eggvena,
0FDBFEA2-BA0F-4209-B667-43B4E211DC3F,Värmland,Torsby,Södra Finnskoga,
0FE5D6C2-64BC-408F-A346-0A143D850979,Skåne,Staffanstorp,Brågarp,
10187CA7-0E9F-470D-B531-AC8AA750DD30,Örebro,"Örebro, Lindesberg, Nora",Lindesberg,
1023340A-5F3C-42FB-8ED0-7281BCB57FDA,Östergötland,"Norrköping, Linköping, Söderköping, Norrköping",Kimstad,
103B75FB-B102-4D32-89EB-4BE29DEBEDAA,Uppsala,"Uppsala, Östhammar, Östhammar",Rasbokil,
1064465E-018E-4C29-9CA2-4A4FCA2FD31D,"Östergötland, Södermanland","Finspång, Norrköping, Nyköping, Katrineholm",Simonstorp,
1071CC64-761E-4F21-A2FD-316C23567C3D,Dalarna,"Leksand, Falun, Leksand, Falun, Leksand, Rättvik",Bjursås,
107EEB22-474B-4939-BEBF-C7F33C9472A9,"Västernorrland, Västerbotten","Sollefteå, Örnsköldsvik, Åsele",Anundsjö,
10830FD5-2973-4E31-BECF-7B9B6CDC2B30,Västra Götaland,"Falköping, Vara",Ullene,
108AD79A-4C31-4A14-8C6B-8AF17726BA1A,Skåne,Kristianstad,Nymö,2022-05-07
10D471EA-9FBE-4108-B5C2-069B8C8466D8,Uppsala,"Enköping, Uppsala",Nysätra,
11048FFA-24D9-4254-B5EB-BA7560577AE0,Gävleborg,"Gävle, Ockelbo, Gävle",Hille,
11129750-DC9A-45F7-A446-A6FD04975702,Uppsala,Uppsala,Jumkil,
11129A99-E99D-47BE-A859-E3903DCCAB8C,Jönköping,"Nässjö, Vetlanda, Nässjö, Eksjö",Nässjö,
113E76AE-D8F2-4F7C-8F51-77B4E13CFD4F,Skåne,"Tomelilla, Sjöbo, Tomelilla",Tryde,
115E1A30-7F13-4C18-9B5B-A061F6F0D86E,Jönköping,"Sävsjö, Vetlanda",Skepperstad,
1176B0C3-AD68-4EFA-A6E1-267AB26C98D0,Västra Götaland,"Kungälv, Stenungsund, Stenungsund",Spekeröd,
11948EDE-8AAF-4123-9F08-F7AE8D26D309,Värmland,"Forshaga, Kil, Sunne, Munkfors",Östra Ämtervik,
11D5D8B5-450A-4C3B-97CF-3275EA902D6C,Halland,Falkenberg,Askome,
11E0F1EB-8950-4BBF-9BD5-69FA1AFCBAF4,Östergötland,"Motala, Linköping",Kristberg,
11FC1B64-EF6F-4F0D-B12D-DBD31E0ACFA8,Södermanland,"Vingåker, Vingåker, Katrineholm",Österåker,
1253B136-917D-4906-9768-75078EBC193D,Skåne,Malmö,Västra Klagstorp,
126D4D67-EB76-4865-BA78-ADF7A15E6B77,"Örebro, Värmland","Karlskoga, Nora, Storfors, Hällefors, Filipstad",Grythyttan,
12707BC2-DFBF-44F5-B199-C35D37D2CA96,Skåne,"Trelleborg, Vellinge",Skegrie,
129251EF-941F-435D-9EFA-E494ED42E621,"Stockholm, Södermanland","Nykvarn, Södertälje, Gnesta",Turinge,
1293E11B-8DC3-4A7D-AF3D-05BD5F387E56,"Västernorrland, Jämtland, Västernorrland","Sollefteå, Strömsund, Sollefteå",Fjällsjö,
129566B7-B8E8-4F71-BCB7-BD2B82B01A87,"Stockholm, Södermanland","Södertälje, Nykvarn, Trosa, Gnesta",Vårdinge,
